Доля стран в мировом ВВП в процентах,,,,,
Данные за последние 5 лет,,,,,
,,,,,
Страна,2016,2017,2018,2019,2020
Австралия,"1,016","1,013","1,006","0,999","1,01"
Австрия,"0,398","0,394","0,391","0,386","0,373"
Азербайджан,"0,121","0,114","0,112","0,112","0,111"
Албания,"0,03","0,031","0,031","0,031","0,031"
Алжир,"0,408","0,399","0,39","0,383","0,373"
Ангола,"0,177","0,179","0,17","0,164","0,163"
Антигуа и Барбуда,"0,002","0,002","0,002","0,002","0,001"
Аргентина,"0,766","0,854","0,804","0,767","0,715"
Армения,"0,027","0,029","0,03","0,031","0,03"
Аруба,"0,003","0,003","0,003","0,003","0,002"
Афганистан,"0,061","0,061","0,06","0,061","0,06"
Багамские острова,"0,011","0,011","0,011","0,011","0,01"
Бангладеш,"0,563","0,584","0,609","0,645","0,664"
Барбадос,"0,004","0,004","0,004","0,003","0,003"
Бахрейн,"0,055","0,059","0,058","0,057","0,056"
Белиз,"0,002","0,002","0,002","0,002","0,002"
Белоруссия,"0,146","0,143","0,142","0,14","0,144"
Бельгия,"0,477","0,473","0,465","0,461","0,447"
Бенин,"0,028","0,028","0,029","0,03","0,032"
Болгария,"0,123","0,125","0,124","0,126","0,125"
Боливия,"0,072","0,077","0,078","0,078","0,074"
Босния и Герцеговина,"0,038","0,038","0,038","0,038","0,037"
Ботсвана,"0,032","0,031","0,032","0,032","0,03"
Бразилия,"2,544","2,481","2,44","2,41","2,395"
Бруней-Даруссалам,"0,02","0,021","0,021","0,021","0,022"
Буркина-Фасо,"0,031","0,032","0,033","0,034","0,036"
Бурунди,"0,007","0,007","0,007","0,007","0,007"
Бутан,"0,006","0,007","0,007","0,007","0,007"
Вануату,"0,001","0,001","0,001","0,001","0,001"
Великобритания,"2,507","2,492","2,438","2,409","2,248"
Венгрия,"0,237","0,24","0,244","0,249","0,245"
Венесуэла,"0,378","0,308","0,239","0,152","0,11"
Восточный Тимор,"0,003","0,003","0,003","0,004","0,003"
Вьетнам,"0,667","0,699","0,724","0,754","0,804"
Габон,"0,025","0,025","0,025","0,025","0,026"
Гаити,"0,028","0,027","0,026","0,025","0,025"
Гайана,"0,008","0,008","0,008","0,008","0,012"
Гамбия,"0,004","0,004","0,004","0,004","0,004"
Гана,"0,121","0,12","0,123","0,127","0,133"
Гватемала,"0,113","0,11","0,11","0,111","0,113"
Гвинея,"0,021","0,024","0,025","0,025","0,028"
Гвинея-Бисау,"0,003","0,003","0,003","0,003","0,003"
Германия,"3,605","3,617","3,539","3,466","3,416"
Гондурас,"0,041","0,043","0,043","0,043","0,041"
Гонконг,"0,363","0,364","0,361","0,347","0,338"
Гренада,"0,001","0,001","0,001","0,001","0,001"
Греция,"0,256","0,253","0,248","0,246","0,234"
Грузия,"0,041","0,042","0,042","0,043","0,042"
Дания,"0,258","0,263","0,26","0,26","0,261"
Демократическая Республика Конго,"0,066","0,071","0,072","0,074","0,076"
Джибути,"0,004","0,004","0,004","0,004","0,004"
Доминика,"0,001","0,001","0,001","0,001","0,001"
Доминиканская Республика,"0,145","0,145","0,149","0,153","0,148"
Египет,"0,915","0,873","0,888","0,913","0,98"
Замбия,"0,048","0,048","0,049","0,048","0,048"
Зимбабве,"0,033","0,035","0,035","0,032","0,03"
Израиль,"0,28","0,279","0,279","0,281","0,284"
Индия,"6,695","6,802","7,001","7,094","6,765"
Индонезия,"2,376","2,378","2,417","2,472","2,508"
Иордания,"0,078","0,08","0,079","0,079","0,08"
Ирак,"0,3","0,333","0,325","0,33","0,305"
Иран,"0,965","0,964","0,875","0,794","0,836"
Ирландия,"0,295","0,31","0,327","0,337","0,358"
Исландия,"0,016","0,016","0,016","0,016","0,015"
Испания,"1,5","1,515","1,5","1,489","1,374"
Италия,"2,095","2,079","2,027","1,98","1,87"
Йемен,"0,054","0,05","0,049","0,048","0,048"
Кабо-Верде,"0,003","0,003","0,003","0,003","0,003"
Казахстан,"0,367","0,369","0,371","0,377","0,381"
Камбоджа,"0,05","0,052","0,054","0,056","0,056"
Камерун,"0,071","0,072","0,072","0,073","0,074"
Канада,"1,453","1,46","1,445","1,434","1,405"
Катар,"0,191","0,205","0,201","0,197","0,199"
Кения,"0,154","0,167","0,172","0,176","0,182"
Кипр,"0,026","0,027","0,027","0,027","0,027"
Киргизия,"0,025","0,026","0,026","0,026","0,025"
Китай,"16,187","16,282","16,791","17,305","18,338"
Колумбия,"0,582","0,575","0,57","0,573","0,554"
Коморские острова,"0,002","0,002","0,002","0,002","0,002"
Корея,"1,754","1,731","1,721","1,71","1,755"
Косово,"0,015","0,015","0,016","0,016","0,015"
Коста-Рика,"0,079","0,08","0,079","0,079","0,078"
Кот-д'Ивуар,"0,097","0,097","0,1","0,104","0,11"
Кувейт,"0,153","0,17","0,166","0,162","0,154"
Лаос,"0,041","0,041","0,043","0,043","0,045"
Латвия,"0,045","0,046","0,046","0,046","0,046"
Лесото,"0,005","0,005","0,004","0,004","0,004"
Либерия,"0,005","0,006","0,006","0,006","0,006"
Ливан,"0,09","0,09","0,085","0,077","0,06"
Ливия,"0,044","0,057","0,065","0,071","0,03"
Литва,"0,077","0,079","0,079","0,08","0,082"
Люксембург,"0,056","0,055","0,055","0,055","0,056"
Маврикий,"0,023","0,022","0,022","0,022","0,02"
Мавритания,"0,017","0,018","0,018","0,018","0,018"
Мадагаскар,"0,035","0,033","0,033","0,034","0,033"
Макао,"0,061","0,065","0,066","0,063","0,029"
Македония,"0,027","0,027","0,027","0,027","0,026"
Малави,"0,015","0,015","0,015","0,015","0,016"
Малайзия,"0,678","0,681","0,69","0,701","0,686"
Мали,"0,034","0,034","0,035","0,035","0,036"
Мальдивы,"0,007","0,007","0,008","0,008","0,006"
Мальта,"0,016","0,017","0,017","0,017","0,017"
Марокко,"0,22","0,217","0,216","0,216","0,208"
Мексика,"2,063","2,032","2,006","1,953","1,857"
Микронезия,-,-,-,-,-
Мозамбик,"0,033","0,03","0,03","0,03","0,031"
Молдова,"0,026","0,026","0,027","0,027","0,026"
Монголия,"0,028","0,029","0,03","0,031","0,03"
Мьянма,"0,185","0,185","0,191","0,198","0,212"
Намибия,"0,021","0,02","0,02","0,019","0,018"
Непал,"0,071","0,081","0,084","0,087","0,089"
Нигер,"0,021","0,021","0,021","0,022","0,023"
Нигерия,"0,843","0,814","0,802","0,798","0,812"
Нидерланды,"0,771","0,779","0,771","0,763","0,761"
Никарагуа,"0,031","0,032","0,029","0,027","0,028"
Новая Зеландия,"0,16","0,162","0,162","0,162","0,162"
Норвегия,"0,267","0,273","0,267","0,262","0,269"
Объединенные Арабские Эмираты,"0,518","0,524","0,512","0,507","0,494"
Оман,"0,112","0,112","0,109","0,105","0,102"
Пакистан,"0,777","0,781","0,796","0,79","0,816"
Палестина,"0,024","0,023","0,023","0,023","0,021"
Панама,"0,097","0,103","0,103","0,103","0,088"
Папуа-Новая Гвинея,"0,026","0,026","0,025","0,026","0,026"
Парагвай,"0,071","0,071","0,071","0,069","0,071"
Перу,"0,327","0,328","0,329","0,328","0,302"
Польша,"0,931","0,941","0,958","0,975","0,983"
Португалия,"0,282","0,28","0,278","0,278","0,266"
Пуэрто-Рико,"0,101","0,094","0,087","0,085","0,082"
Республика Конго,"0,016","0,018","0,016","0,016","0,015"
Россия,"3,063","3,138","3,117","3,098","3,112"
Руанда,"0,019","0,019","0,02","0,022","0,022"
Румыния,"0,414","0,439","0,444","0,45","0,448"
США,"16,225","16,06","15,982","15,902","15,9"
Сальвадор,"0,044","0,044","0,044","0,044","0,041"
Самоа,"0,001","0,001","0,001","0,001","0,001"
Сан-Марино,"0,002","0,002","0,002","0,002","0,001"
Сан-Томе и Принсипи,"0,001","0,001","0,001","0,001","0,001"
Саудовская Аравия,"1,277","1,287","1,274","1,245","1,236"
Сейшельские острова,"0,002","0,002","0,002","0,002","0,002"
Сенегал,"0,04","0,041","0,042","0,042","0,044"
Сент-Винсент и Гренадины,"0,001","0,001","0,001","0,001","0,001"
Сент-Китс и Невис,"0,001","0,001","0,001","0,001","0,001"
Сент-Люсия,"0,002","0,002","0,002","0,002","0,002"
Сербия,"0,097","0,096","0,097","0,098","0,101"
Сингапур,"0,434","0,44","0,44","0,434","0,426"
Сирия,-,-,-,-,-
Словакия,"0,139","0,138","0,139","0,138","0,136"
Словения,"0,061","0,062","0,063","0,063","0,062"
Соломоновы острова,"0,001","0,001","0,001","0,001","0,001"
Сомали,"0,011","0,01","0,01","0,01","0,011"
Судан,"0,191","0,154","0,146","0,138","0,138"
Суринам,"0,007","0,008","0,008","0,007","0,007"
Сьерра-Леоне,"0,011","0,01","0,01","0,01","0,01"
Таджикистан,"0,023","0,023","0,023","0,024","0,026"
Таиланд,"0,992","0,991","0,998","0,994","0,967"
Тайвань,"0,963","0,939","0,933","0,936",1
Танзания,"0,111","0,11","0,114","0,119","0,124"
Того,"0,013","0,013","0,013","0,013","0,014"
Тонга,-,-,-,-,-
Тринидад и Тобаго,"0,031","0,03","0,029","0,028","0,027"
Тунис,"0,101","0,099","0,098","0,097","0,091"
Туркменистан,"0,068","0,067","0,069","0,071","0,075"
Турция,"1,832","1,876","1,866","1,834","1,934"
Уганда,"0,075","0,074","0,076","0,079","0,081"
Узбекистан,"0,178","0,174","0,177","0,182","0,192"
Украина,"0,412","0,414","0,414","0,416","0,413"
Уругвай,"0,067","0,065","0,063","0,062","0,06"
Фиджи,"0,01","0,01","0,01","0,009","0,008"
Филиппины,"0,691","0,702","0,721","0,745","0,698"
Финляндия,"0,214","0,215","0,211","0,208","0,209"
Франция,"2,479","2,463","2,424","2,396","2,278"
Хорватия,"0,09","0,091","0,09","0,09","0,085"
Центрально-Африканская Республика,"0,003","0,003","0,003","0,003","0,004"
Чад,"0,021","0,02","0,02","0,02","0,02"
Черногория,"0,01","0,01","0,01","0,01","0,009"
Чехия,"0,33","0,339","0,338","0,337","0,33"
Чили,"0,358","0,359","0,36","0,354","0,345"
Швейцария,"0,493","0,483","0,481","0,474","0,476"
Швеция,"0,433","0,436","0,429","0,424","0,427"
Шри-Ланка,"0,224","0,222","0,221","0,22","0,22"
Эквадор,"0,158","0,16","0,157","0,153","0,146"
Экваториальная Гвинея,"0,022","0,023","0,021","0,019","0,019"
Эритрея,"0,005","0,004","0,005","0,005","0,005"
Эсватини,"0,008","0,008","0,008","0,008","0,008"
Эстония,"0,036","0,037","0,037","0,038","0,038"
Эфиопия,"0,168","0,177","0,184","0,195","0,215"
ЮАР,"0,613","0,595","0,579","0,565","0,545"
Южный Судан,"0,011","0,009","0,009","0,009","0,008"
Ямайка,"0,023","0,023","0,023","0,022","0,021"
Япония,"4,466","4,313","4,191","4,092","4,036"